frame,track_id,class,u_px,v_px,image_region,image_lane,x_world_m,y_world_m,map_x,map_y,longitude,latitude,map_lane_code_raw,map_lane_code,map_lane_id,speed_kmh,raw_x_world_m,raw_y_world_m,raw_longitude,raw_latitude,output_filter_reason
225,3,target,771.9,268.5,down,down_L4,31.18,187.46,,,117.41894883,40.39881110,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.18,187.46,117.41425613,40.39877873,
226,3,target,772.4,268.8,down,down_L4,31.19,186.83,,,117.41894144,40.39881131,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.19,186.83,117.41426350,40.39877845,
227,3,target,772.9,269.5,down,down_L4,31.17,185.32,,,117.41892361,40.39881181,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.17,185.32,117.41428132,40.39877823,
228,3,target,773.5,270.0,down,down_L4,31.18,184.31,,,117.41891177,40.39881214,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.18,184.31,117.41429314,40.39877781,
229,3,target,774.6,270.0,down,down_L4,31.29,183.94,,,117.41890740,40.39881227,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.29,183.94,117.41429746,40.39877674,
230,3,target,775.2,271.0,down,down_L4,31.23,181.95,,,117.41888394,40.39881293,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.23,181.95,117.41432092,40.39877664,
231,3,target,776.2,271.5,down,down_L4,31.27,180.77,,,117.41886999,40.39881332,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.27,180.77,117.41433483,40.39877587,
232,3,target,776.5,272.4,down,down_L4,31.20,179.12,,,117.41885056,40.39881387,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.20,179.12,117.41435427,40.39877602,
233,3,target,777.5,273.0,down,down_L4,31.24,177.97,,,117.41883696,40.39881425,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.24,177.97,117.41436783,40.39877536,
234,3,target,778.6,273.0,down,down_L4,31.35,177.47,,,117.41883109,40.39881442,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.35,177.47,117.41437365,40.39877419,
235,3,target,778.8,274.2,down,down_L4,31.23,175.51,,,117.41880802,40.39881507,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.23,175.51,117.41439673,40.39877467,
236,3,target,779.3,274.7,down,down_L4,31.22,174.55,,,117.41879672,40.39881538,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.22,174.55,117.41440802,40.39877447,
237,3,target,779.7,275.7,down,down_L4,31.16,172.99,,,117.41877836,40.39881590,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.16,172.99,117.41442639,40.39877453,
238,3,target,780.8,276.2,down,down_L4,31.21,171.78,,,117.41876408,40.39881630,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.21,171.78,117.41444062,40.39877370,
239,3,target,781.3,277.0,down,down_L4,31.17,170.51,,,117.41874908,40.39881672,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.17,170.51,117.41445563,40.39877366,
240,3,target,782.1,277.8,down,down_L4,31.16,168.97,,,117.41873089,40.39881724,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.16,168.97,117.41447379,40.39877326,
241,3,target,782.6,278.7,down,down_L4,31.12,167.60,,,117.41871475,40.39881769,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.12,167.60,117.41448993,40.39877323,
242,3,target,783.8,279.2,down,down_L4,31.17,166.43,,,117.41870101,40.39881808,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.17,166.43,117.41450363,40.39877242,
243,3,target,785.2,279.3,down,down_L4,31.30,165.92,,,117.41869501,40.39881825,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.30,165.92,117.41450958,40.39877109,
244,3,target,785.6,280.2,down,down_L4,31.24,164.59,,,117.41867932,40.39881869,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.24,164.59,117.41452526,40.39877121,
245,3,target,786.3,280.6,down,down_L4,31.26,163.71,,,117.41866891,40.39881899,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.26,163.71,117.41453565,40.39877078,
246,3,target,786.7,281.7,down,down_L4,31.19,162.12,,,117.41865017,40.39881952,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.19,162.12,117.41455440,40.39877092,
247,3,target,787.6,282.2,down,down_L4,31.22,161.15,,,117.41863872,40.39881984,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.22,161.15,117.41456582,40.39877035,
248,3,target,788.6,283.3,down,down_L4,31.20,159.41,,,117.41861822,40.39882042,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.20,159.41,117.41458630,40.39877000,
249,3,target,788.9,283.8,down,down_L4,31.16,158.60,,,117.41860866,40.39882069,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.16,158.60,117.41459587,40.39877005,
250,3,target,790.1,284.7,down,down_L4,31.19,157.14,,,117.41859146,40.39882117,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.19,157.14,117.41461303,40.39876941,
251,3,target,790.7,285.5,down,down_L4,31.17,155.96,,,117.41857762,40.39882156,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.17,155.96,117.41462686,40.39876923,
252,3,target,791.2,286.2,down,down_L4,31.14,154.96,,,117.41856574,40.39882189,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.14,154.96,117.41463874,40.39876914,
253,3,target,791.8,286.9,down,down_L4,31.13,153.87,,,117.41855295,40.39882225,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.13,153.87,117.41465151,40.39876895,
254,3,target,792.7,287.6,down,down_L4,31.14,152.73,,,117.41853949,40.39882263,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.14,152.73,117.41466496,40.39876851,
255,3,target,793.5,288.3,down,down_L4,31.13,151.64,,,117.41852666,40.39882299,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.13,151.64,117.41467777,40.39876824,
256,3,target,794.5,288.9,down,down_L4,31.17,150.74,,,117.41851609,40.39882329,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.17,150.74,117.41468831,40.39876762,
257,3,target,795.3,290.0,down,down_L4,31.12,149.13,,,117.41849706,40.39882383,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.12,149.13,117.41470734,40.39876753,
258,3,target,796.4,291.0,down,down_L4,31.13,147.76,,,117.41848085,40.39882429,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.13,147.76,117.41472352,40.39876703,
259,3,target,797.2,291.8,down,down_L4,31.11,146.55,,,117.41846661,40.39882469,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.11,146.55,117.41473775,40.39876681,
260,3,target,798.1,292.5,down,down_L4,31.13,145.53,,,117.41845457,40.39882503,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.13,145.53,117.41474977,40.39876639,
261,3,target,799.3,293.1,down,down_L4,31.17,144.57,,,117.41844335,40.39882534,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.17,144.57,117.41476095,40.39876569,
262,3,target,800.3,294.1,down,down_L4,31.17,143.26,,,117.41842792,40.39882578,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.17,143.26,117.41477637,40.39876533,
263,3,target,801.6,294.5,down,down_L4,31.24,142.53,,,117.41841924,40.39882602,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.24,142.53,117.41478500,40.39876444,
264,3,target,802.0,295.6,down,down_L4,31.17,141.24,,,117.41840407,40.39882645,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.17,141.24,117.41480018,40.39876465,
265,3,target,803.2,296.3,down,down_L4,31.21,140.21,,,117.41839187,40.39882679,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.21,140.21,117.41481236,40.39876401,
