frame,track_id,class,u_px,v_px,image_region,image_lane,x_world_m,y_world_m,map_x,map_y,longitude,latitude,map_lane_code_raw,map_lane_code,map_lane_id,speed_kmh,raw_x_world_m,raw_y_world_m,raw_longitude,raw_latitude,output_filter_reason
173,1,target,1299.1,514.5,down,down_L2,23.05,33.94,,,117.42026835,40.39880804,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,104.9,23.05,33.94,117.42026721,40.39880744,
174,1,target,1291.1,510.3,down,down_L2,23.08,35.11,,,117.42025907,40.39880830,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,104.9,23.08,35.11,117.42025973,40.39880782,
175,1,target,1283.0,506.9,down,down_L2,23.03,36.19,,,117.42025057,40.39880854,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,104.9,23.03,36.19,117.42025717,40.39880796,
176,1,target,1274.7,502.7,down,down_L2,23.04,37.42,,,117.42024119,40.39880881,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,103.0,23.04,37.42,117.42025071,40.39880817,
177,1,target,1266.7,498.6,down,down_L2,23.05,38.66,,,117.42023174,40.39880908,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,103.0,23.05,38.66,117.42023590,40.39880817,
178,1,target,1260.0,496.0,down,down_L2,23.01,39.58,,,117.42022469,40.39880928,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,103.0,23.01,39.58,117.42022733,40.39880827,
179,1,target,1253.2,492.6,down,down_L2,23.00,40.65,,,117.42021656,40.39880952,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,103.0,23.00,40.65,117.42021603,40.39880854,
180,1,target,1246.5,488.4,down,down_L2,23.09,41.90,,,117.42020706,40.39880979,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,103.0,23.09,41.90,117.42020333,40.39880901,
181,1,target,1239.5,484.9,down,down_L2,23.09,43.06,,,117.42019820,40.39881004,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,103.0,23.09,43.06,117.42018639,40.39880992,
182,1,target,1232.7,481.1,down,down_L2,23.14,44.30,,,117.42018877,40.39881031,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,103.0,23.14,44.30,117.42018340,40.39881015,
183,1,target,1225.6,478.7,down,down_L2,23.04,45.31,,,117.42018108,40.39881053,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,101.8,23.04,45.31,117.42017774,40.39881019,
184,1,target,1219.1,475.2,down,down_L2,23.08,46.51,,,117.42017188,40.39881080,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,101.8,23.08,46.51,117.42017269,40.39881016,
185,1,target,1212.8,472.3,down,down_L2,23.06,47.60,,,117.42016355,40.39881104,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,101.8,23.06,47.60,117.42016410,40.39881025,
186,1,target,1206.8,468.9,down,down_L2,23.10,48.78,,,117.42015458,40.39881130,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,101.8,23.10,48.78,117.42015355,40.39881059,
187,1,target,1200.7,466.0,down,down_L2,23.10,49.90,,,117.42014607,40.39881154,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,101.8,23.10,49.90,117.42014603,40.39881100,
188,1,target,1194.7,462.9,down,down_L2,23.11,51.08,,,117.42013709,40.39881180,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,101.8,23.11,51.08,117.42014272,40.39881120,
189,1,target,1188.8,460.8,down,down_L2,23.04,52.06,,,117.42012960,40.39881202,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,102.6,23.04,52.06,117.42013703,40.39881143,
190,1,target,1183.1,458.4,down,down_L2,23.00,53.10,,,117.42012168,40.39881225,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,102.6,23.00,53.10,117.42013403,40.39881139,
191,1,target,1177.7,455.3,down,down_L2,23.05,54.29,,,117.42011263,40.39881251,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,102.6,23.05,54.29,117.42011594,40.39881141,
192,1,target,1172.5,452.8,down,down_L2,23.04,55.34,,,117.42010455,40.39881274,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,102.6,23.04,55.34,117.42010499,40.39881163,
193,1,target,1166.9,450.2,down,down_L2,23.02,56.47,,,117.42009601,40.39881299,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,102.6,23.02,56.47,117.42009315,40.39881202,
194,1,target,1162.1,448.4,down,down_L2,22.97,57.37,,,117.42008914,40.39881319,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,102.6,22.97,57.37,117.42008488,40.39881242,
195,1,target,1156.3,445.8,down,down_L2,22.95,58.55,,,117.42008010,40.39881345,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,102.6,22.95,58.55,117.42007053,40.39881328,
196,1,target,1151.4,443.3,down,down_L2,22.96,59.66,,,117.42007164,40.39881369,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,102.6,22.96,59.66,117.42006415,40.39881342,
197,1,target,1146.4,440.4,down,down_L2,23.00,60.89,,,117.42006227,40.39881396,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,101.6,23.00,60.89,117.42006159,40.39881342,
198,1,target,1141.2,437.7,down,down_L2,23.02,62.13,,,117.42005280,40.39881424,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,101.6,23.02,62.13,117.42005380,40.39881341,
199,1,target,1136.4,435.6,down,down_L2,22.99,63.17,,,117.42004488,40.39881446,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,101.6,22.99,63.17,117.42004458,40.39881360,
200,1,target,1131.8,433.0,down,down_L2,23.03,64.37,,,117.42003579,40.39881473,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,101.6,23.03,64.37,117.42003479,40.39881404,
201,1,target,1127.2,431.2,down,down_L2,22.99,65.37,,,117.42002813,40.39881495,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,101.6,22.99,65.37,117.42002980,40.39881437,
202,1,target,1122.6,428.9,down,down_L2,22.99,66.51,,,117.42001947,40.39881520,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,102.5,22.99,66.51,117.42002818,40.39881444,
203,1,target,1118.6,426.4,down,down_L2,23.04,67.65,,,117.42001078,40.39881545,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,102.5,23.04,67.65,117.42002128,40.39881465,
204,1,target,1114.1,424.8,down,down_L2,22.98,68.62,,,117.42000336,40.39881566,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,102.5,22.98,68.62,117.42000754,40.39881458,
