frame,track_id,class,u_px,v_px,image_region,image_lane,x_world_m,y_world_m,map_x,map_y,longitude,latitude,map_lane_code_raw,map_lane_code,map_lane_id,speed_kmh,raw_x_world_m,raw_y_world_m,raw_longitude,raw_latitude,output_filter_reason,ModelHeight
224,3,target,771.2,267.9,down,down_L4,31.18,188.71,,,117.4189636,40.39881068,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.18,188.71,117.4142414,40.3987792,,574.388
225,3,target,771.9,268.5,down,down_L4,31.18,187.46,,,117.4189488,40.3988111,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.18,187.46,117.4142561,40.39877873,,574.362
226,3,target,772.4,268.8,down,down_L4,31.19,186.83,,,117.4189414,40.39881131,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.19,186.83,117.4142635,40.39877845,,574.349
227,3,target,772.9,269.5,down,down_L4,31.17,185.32,,,117.4189236,40.39881181,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.17,185.32,117.4142813,40.39877823,,574.33
228,3,target,773.5,270,down,down_L4,31.18,184.31,,,117.4189118,40.39881214,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.18,184.31,117.4142931,40.39877781,,574.316
229,3,target,774.6,270,down,down_L4,31.29,183.94,,,117.4189074,40.39881227,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.29,183.94,117.4142975,40.39877674,,574.312
230,3,target,775.2,271,down,down_L4,31.23,181.95,,,117.4188839,40.39881293,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.23,181.95,117.4143209,40.39877664,,574.287
231,3,target,776.2,271.5,down,down_L4,31.27,180.77,,,117.41887,40.39881332,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.27,180.77,117.4143348,40.39877587,,574.269
232,3,target,776.5,272.4,down,down_L4,31.2,179.12,,,117.4188506,40.39881387,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.2,179.12,117.4143543,40.39877602,,574.237
233,3,target,777.5,273,down,down_L4,31.24,177.97,,,117.418837,40.39881425,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.24,177.97,117.4143678,40.39877536,,574.216
234,3,target,778.6,273,down,down_L4,31.35,177.47,,,117.4188311,40.39881442,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.35,177.47,117.4143737,40.39877419,,574.208
235,3,target,778.8,274.2,down,down_L4,31.23,175.51,,,117.418808,40.39881507,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.23,175.51,117.4143967,40.39877467,,574.184
236,3,target,779.3,274.7,down,down_L4,31.22,174.55,,,117.4187967,40.39881538,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.22,174.55,117.414408,40.39877447,,574.176
237,3,target,779.7,275.7,down,down_L4,31.16,172.99,,,117.4187784,40.3988159,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.16,172.99,117.4144264,40.39877453,,574.162
238,3,target,780.8,276.2,down,down_L4,31.21,171.78,,,117.4187641,40.3988163,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.21,171.78,117.4144406,40.3987737,,574.151
